,CITY,STATE,WINTER_TEMP,SPRING_TEMP,SUMMER_TEMP,FALL_TEMP,PRECIP_AVG_AMOUNT,SNOWFALL_AVG
0,Lansing,MI,-4.0,7.7,20.6,10.1,67.3,111.0
1,Tallahassee,FL,12.0,19.7,27.3,20.7,129.6,0.2
2,Annapolis,MD,3.0,12.7,24.6,15.5,86.6,25.4
3,Pierre,SD,,,,,39.7,104.0
4,Harrisburg,PA,0.2,11.1,23.2,13.1,83.3,73.0
5,Carson,City,1.5,9.0,19.4,10.4,21.9,57.1
6,Salem,OR,5.1,10.5,18.5,12.0,83.6,15.5
7,Augusta,ME,-5.2,6.3,19.6,9.4,88.4,159.0
8,Lincoln,NE,-3.2,10.6,24.1,11.6,61.5,58.5
9,Saint,Paul,-7.2,7.5,21.9,9.5,61.5,84.3
10,Trenton,NJ,,,,,103.6,0.0
11,Jeferson,City,1.4,13.5,25.0,14.2,81.4,0.0
12,Montpelier,VT,-5.9,6.3,20.0,9.3,87.1,129.5
13,Sante,Fe,0.1,9.5,20.6,10.6,28.0,38.4
14,Topeka,KS,-0.4,12.5,24.9,13.6,74.7,41.1
15,Frankfort,KY,2.1,13.2,23.8,13.9,100.9,
0,Albany,NY,,46.6,71.1,49.3,38.6,64.4
1,Albuquerque,NM,,55.6,78.5,57.3,9.47,11
2,Anchorage,AK,,36.3,58.4,34.1,16.08,70.8
3,Asheville,NC,,54.1,73.0,55.2,47.07,15.3
4,Atlanta,Ga.,,61.6,80.0,62.8,50.2,2.1
5,Atlantic City,NJ,,50.6,75.3,55.1,40.59,16.2
6,Austin,TX,,68.3,84.2,70.6,33.65,0.9
7,Baltimore,MD,,53.2,76.5,55.4,41.94,21.5
8,Baton Rouge,La.,,66.6,81.7,68.1,63.08,0.2
9,Billings,MT,,46.1,72.0,48.1,14.77,56.9
10,Birmingham,AL,,61.3,80.2,62.9,53.99,1.5
11,Bismarck,ND,,43.3,70.4,45.2,16.84,44.3
12,Boise,ID,,50.6,74.7,52.8,12.19,20.6
13,Boston,MA,,48.3,73.9,54.1,42.53,42.8
14,Bridgeport,CT,,48.9,74.0,54.7,44.15,26.2
15,Buffalo,NY,,45.3,70.8,50.7,40.54,93.6
16,Burlington,VT,,43.5,70.6,47.7,36.05,79.3
17,Caribou,ME,,38.1,65.6,42.8,37.44,112.1
18,Casper,WY,,42.7,70.0,45.7,13.03,77.8
19,Charleston,SC,,64.2,81.7,66.2,51.53,0.7
20,Charleston,WV,,54.3,73.9,55.1,44.05,34
21,Charlotte,NC,,60.9,80.3,61.7,43.51,5.6
22,Cheyenne,WY,,41.6,67.7,45.4,15.45,55.8
23,Chicago,IL,,47.8,73.3,52.1,36.27,38
24,Cleveland,OH,,47.6,71.9,52.2,38.71,57.6
25,Columbia,SC,,63.2,82.0,63.7,48.27,1.9
26,Columbus,OH,,52.0,75.1,54.7,38.52,28.2
27,Concord,NH,,44.6,70.0,47.8,37.6,64.5
28,Dallas-Ft. Worth,TX,,65.0,85.0,67.2,34.73,2.6
29,Denver,CO,,47.6,73.4,51.0,15.81,60.3
30,Des Moines,IA,,50.6,76.1,52.8,34.72,33.3
31,Detroit,MI,,48.1,73.5,51.9,32.89,41.3
32,Dodge City,KS,,53.9,79.8,57.1,22.35,20.3
33,Duluth,MN,,39.0,65.5,43.5,31.0,80.6
34,El Paso,TX,,64.6,83.3,64.9,9.43,5.3
35,Fairbanks,AK,,31.7,62.4,23.5,10.34,67.7
36,Fargo,ND,,43.5,70.6,45.3,21.19,40.8
37,Grand Junction,CO,,50.9,76.8,52.7,8.99,23.6
38,Grand Rapids,MI,,46.3,71.4,49.9,37.13,73.3
39,Hartford,CT,,48.9,73.7,51.9,46.16,49.6
40,Helena,MT,,44.1,67.8,44.8,11.32,46.9
41,Honolulu,HI,,75.6,80.8,80.2,18.29,0
42,Houston,TX,,68.5,83.6,70.4,47.84,0.4
43,Indianapolis,IN,,52.0,75.4,54.6,40.95,23.9
44,Jackson,MS,,63.4,81.4,64.4,55.95,1
45,Jacksonville,FL,,66.6,81.6,69.4,52.34,trace
46,Juneau,AK,,40.8,56.8,42.3,58.33,97
47,Kansas City,MO,,54.4,78.5,56.8,37.98,19.9
48,Knoxville,TN,,57.8,77.7,58.8,48.22,11.5
49,Las Vegas,NV,,66.0,91.2,68.7,4.49,1.2
50,Lexington,KY.,,54.6,76.1,56.6,45.91,16.1
51,Little Rock,AR,,61.4,82.4,63.3,50.93,5.2
52,Long Beach,CA,,63.0,73.8,68.6,12.94,trace
53,Los Angeles,CA,,60.8,69.3,66.9,13.15,trace
54,Louisville,KY.,,56.4,78.4,58.5,44.54,16.4
55,Madison,WIsc.,,45.9,71.6,49.3,32.95,43.8
56,Memphis,TN,,62.1,82.5,63.8,54.65,5.1
57,Miami,FL,,75.7,83.7,78.8,58.53,trace
58,Milwaukee,WIsc.,,45.2,72.0,51.4,34.81,47
59,Minneapolis?St. Paul,MN,,46.6,73.2,48.7,29.41,49.9
60,Mobile,AL,,66.1,81.5,67.7,66.29,0.4
61,Montgomery,AL,,64.3,81.8,65.4,54.77,0.4
62,Mt. Washington,NH,,22.9,48.7,30.2,101.91,259.9
63,Nashville,TN,,58.5,79.1,59.9,48.11,10.1
64,Newark,NJ,,52.3,77.2,56.4,46.25,28.3
65,New Orleans,LA,,68.2,82.7,70.0,64.16,0.2
66,New York,NY,,52.5,76.5,56.6,49.69,28.6
67,Norfolk,VA,,57.4,79.1,61.1,45.74,7.8
68,Oklahoma City,OK,,59.7,82.0,62.0,35.85,9.5
69,Olympia,WA,,47.4,62.8,49.7,50.79,16.7
70,Omaha,NE,,51.4,76.7,53.2,30.22,30.1
71,Philadelphia,PA,,53.1,77.6,57.2,42.05,20.8
72,Phoenix,AZ,,70.2,92.8,74.6,8.29,trace
73,Pittsburgh,PA,,49.9,72.6,52.5,37.85,43.6
74,Portland,ME,,43.7,68.7,47.7,45.83,70.4
75,Portland,OR,,51.2,68.1,54.3,37.07,6.5
76,Providence,RI,,48.6,73.3,53.0,46.45,36
77,Raleigh,NC,,59.1,78.8,60.0,43.05,7.5
78,Reno,NV,,48.6,71.3,52.0,7.48,24.3
79,Richmond,VA,,57.1,77.9,58.3,43.91,13.8
80,Roswell,NM,,60.5,80.8,61.4,13.34,11.7
81,Sacramento,CA,,58.9,75.4,64.4,17.93,trace
82,Salt Lake City,UT,,50.0,77.0,52.5,16.5,58.7
83,San Antonio,TX,,68.6,84.3,70.7,32.92,0.7
84,San Diego,CA,,62.6,70.9,67.6,10.77,trace
85,San Francisco,CA,,56.2,62.8,61.0,20.11,trace
86,Savannah,GA,,65.3,82.1,67.1,49.58,0.4
87,Seattle-Tacoma,WA,,50.2,65.3,52.7,37.07,11.4
88,Sioux Falls,SD,,45.7,73.0,48.0,24.69,41.2
89,Spokane,WA,,46.5,68.6,47.2,16.67,48.6
90,Springfield,IL,,52.8,76.3,55.5,35.56,23.2
91,St. Louis,MT,,56.6,80.2,58.3,38.75,19.6
92,Tampa,FL,,71.5,82.5,75.8,44.77,trace
93,Toledo,OH,,48.3,73.0,51.8,33.21,37.1
94,Tucson,AZ,,66.0,86.5,70.5,12.17,1.2
95,Tulsa,OK,,60.8,83.5,62.6,42.42,10.2
96,Vero Beach,FL,,71.5,81.7,76.4,51.93,trace
97,Washington,DC,,56.1,79.2,58.8,39.35,17.1
98,Wichita,KS,,55.3,81.0,58.6,30.38,15.9
99,Wilmington,DE,,52.4,76.6,55.8,42.81,21.1
